iter	Passed	Remaining
0	62	18671
1	77	11577
2	91	9089
3	108	8036
4	131	7755
5	145	7106
6	158	6648
7	174	6378
8	190	6168
9	212	6161
10	233	6133
11	246	5924
12	264	5829
13	279	5712
14	293	5577
15	306	5433
16	319	5316
17	332	5202
18	344	5101
19	357	5009
20	371	4934
21	389	4923
22	402	4842
23	414	4766
24	428	4715
25	441	4655
26	454	4598
27	468	4554
28	481	4503
29	496	4470
30	514	4467
31	532	4456
32	548	4440
33	570	4460
34	588	4455
35	606	4444
36	622	4427
37	642	4426
38	659	4411
39	680	4424
40	703	4445
41	723	4445
42	742	4438
43	755	4397
44	769	4358
45	781	4315
46	794	4274
47	806	4234
48	819	4196
49	831	4158
50	844	4123
51	857	4089
52	872	4066
53	886	4038
54	898	4003
55	911	3970
56	925	3944
57	938	3913
58	953	3895
59	966	3865
60	978	3834
61	991	3805
62	1004	3777
63	1019	3757
64	1035	3742
65	1048	3716
66	1061	3691
67	1073	3663
68	1085	3635
69	1100	3614
70	1113	3589
71	1128	3574
72	1142	3553
73	1158	3537
74	1174	3523
75	1194	3521
76	1208	3500
77	1221	3477
78	1234	3452
79	1246	3427
80	1259	3404
81	1272	3382
82	1284	3357
83	1297	3335
84	1310	3314
85	1323	3294
86	1337	3275
87	1349	3252
88	1362	3230
89	1376	3210
90	1388	3189
91	1401	3168
92	1417	3154
93	1430	3134
94	1442	3113
95	1455	3093
96	1468	3072
97	1480	3052
98	1493	3031
99	1505	3010
100	1519	2993
101	1532	2973
102	1544	2953
103	1557	2934
104	1570	2917
105	1583	2898
106	1596	2879
107	1610	2862
108	1626	2849
109	1641	2834
110	1656	2821
111	1673	2809
112	1690	2797
113	1703	2779
114	1716	2761
115	1729	2743
116	1742	2724
117	1754	2706
118	1767	2688
119	1781	2671
120	1792	2651
121	1805	2634
122	1818	2616
123	1830	2598
124	1842	2580
125	1855	2562
126	1867	2544
127	1882	2529
128	1894	2511
129	1908	2495
130	1920	2477
131	1932	2460
132	1950	2448
133	1963	2432
134	1975	2414
135	1987	2396
136	1999	2379
137	2011	2361
138	2024	2344
139	2036	2327
140	2049	2310
141	2061	2294
142	2074	2277
143	2087	2261
144	2099	2244
145	2113	2228
146	2127	2214
147	2143	2201
148	2158	2187
149	2174	2174
150	2189	2160
151	2203	2145
152	2217	2130
153	2229	2114
154	2241	2097
155	2254	2081
156	2267	2065
157	2280	2049
158	2292	2032
159	2305	2017
160	2318	2001
161	2331	1986
162	2343	1969
163	2357	1954
164	2369	1938
165	2384	1924
166	2396	1908
167	2411	1894
168	2424	1879
169	2436	1863
170	2450	1848
171	2464	1834
172	2477	1819
173	2490	1803
174	2504	1788
175	2516	1773
176	2529	1757
177	2542	1742
178	2555	1727
179	2567	1711
180	2580	1696
181	2592	1681
182	2606	1666
183	2617	1650
184	2632	1636
185	2647	1622
186	2662	1609
187	2681	1597
188	2694	1582
189	2708	1568
190	2720	1552
191	2733	1537
192	2745	1522
193	2759	1507
194	2771	1492
195	2783	1477
196	2796	1462
197	2810	1447
198	2822	1432
199	2834	1417
200	2847	1402
201	2861	1388
202	2873	1373
203	2886	1358
204	2900	1344
205	2913	1329
206	2932	1317
207	2945	1303
208	2958	1288
209	2970	1273
210	2983	1258
211	2996	1243
212	3008	1228
213	3021	1214
214	3033	1199
215	3046	1184
216	3058	1169
217	3075	1156
218	3088	1142
219	3102	1128
220	3114	1113
221	3129	1099
222	3145	1086
223	3168	1074
224	3180	1060
225	3194	1046
226	3207	1031
227	3219	1016
228	3231	1002
229	3244	987
230	3256	972
231	3269	958
232	3281	943
233	3294	929
234	3308	915
235	3320	900
236	3333	886
237	3347	872
238	3361	857
239	3373	843
240	3386	828
241	3398	814
242	3414	800
243	3426	786
244	3440	772
245	3454	758
246	3468	744
247	3480	729
248	3493	715
249	3506	701
250	3519	687
251	3531	672
252	3544	658
253	3557	644
254	3570	630
255	3582	615
256	3594	601
257	3607	587
258	3624	573
259	3640	560
260	3660	546
261	3673	532
262	3686	518
263	3700	504
264	3712	490
265	3726	476
266	3739	462
267	3753	448
268	3765	433
269	3778	419
270	3791	405
271	3803	391
272	3817	377
273	3829	363
274	3842	349
275	3854	335
276	3867	321
277	3880	307
278	3893	293
279	3908	279
280	3924	265
281	3936	251
282	3949	237
283	3961	223
284	3975	209
285	3988	195
286	4000	181
287	4013	167
288	4026	153
289	4039	139
290	4052	125
291	4064	111
292	4076	97
293	4090	83
294	4103	69
295	4118	55
296	4134	41
297	4153	27
298	4167	13
299	4180	0
