epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5388,1.50972,2.63808,1.21429,0.65632,0.23703,0.52487,0.29705,1.39643,2.5424,1.1272,0.000548543,0.000548543,0.000548543
2,49.1241,1.42239,1.72235,1.17574,0.63249,0.58823,0.60676,0.34849,1.44362,1.86902,1.25154,0.00108235,0.00108235,0.00108235
3,73.8294,1.42808,1.58712,1.18067,0.66215,0.62893,0.63135,0.34782,1.49883,1.47431,1.29905,0.00159414,0.00159414,0.00159414
4,96.3448,1.43215,1.44611,1.18583,0.61031,0.631,0.61229,0.33444,1.47227,1.32384,1.28594,0.00156798,0.00156798,0.00156798
5,120.758,1.39097,1.27126,1.16953,0.74436,0.63594,0.67746,0.39301,1.4344,1.25456,1.27251,0.00153497,0.00153497,0.00153497
6,143.435,1.37898,1.19066,1.16114,0.58213,0.63608,0.65473,0.38111,1.38251,1.24088,1.23579,0.00150197,0.00150197,0.00150197
7,167.883,1.3832,1.12125,1.16394,0.62208,0.72361,0.68539,0.38687,1.44689,1.17823,1.2344,0.00146896,0.00146896,0.00146896
8,190.594,1.35118,1.03378,1.15557,0.70333,0.72186,0.73761,0.42101,1.42966,1.07126,1.2245,0.00143595,0.00143595,0.00143595
9,215.403,1.33743,1.04354,1.14379,0.67948,0.63458,0.67622,0.38375,1.45011,1.19624,1.24744,0.00140295,0.00140295,0.00140295
10,239.127,1.31882,1.00008,1.13209,0.67003,0.70425,0.69526,0.39085,1.43281,1.11329,1.23933,0.00136994,0.00136994,0.00136994
11,262.746,1.30647,0.978,1.13607,0.62978,0.77593,0.73457,0.44513,1.38516,1.04648,1.21163,0.00133693,0.00133693,0.00133693
12,287.929,1.28129,0.92436,1.11576,0.68765,0.68882,0.67454,0.38938,1.44488,1.08269,1.24811,0.00130393,0.00130393,0.00130393
13,310.347,1.24259,0.91069,1.0982,0.56427,0.65119,0.59188,0.34522,1.4442,1.30735,1.28438,0.00127092,0.00127092,0.00127092
14,335.354,1.24439,0.90321,1.09395,0.74381,0.71447,0.76622,0.45425,1.42353,0.983,1.23274,0.00123791,0.00123791,0.00123791
15,358.058,1.24442,0.86208,1.09757,0.79025,0.69076,0.77114,0.46291,1.40985,0.99341,1.22855,0.00120491,0.00120491,0.00120491
16,382.53,1.24649,0.84826,1.08975,0.72733,0.72125,0.74903,0.42785,1.43999,1.05792,1.24853,0.0011719,0.0011719,0.0011719
17,406.855,1.21926,0.83092,1.08624,0.66302,0.75583,0.72512,0.42506,1.43761,0.96922,1.24618,0.00113889,0.00113889,0.00113889
18,429.946,1.17707,0.80192,1.07891,0.72127,0.72972,0.74296,0.43709,1.44977,1.00463,1.23815,0.00110589,0.00110589,0.00110589
19,454.32,1.19814,0.79052,1.07809,0.79046,0.72014,0.78898,0.44527,1.4326,0.95388,1.23735,0.00107288,0.00107288,0.00107288
20,476.583,1.17581,0.75555,1.07485,0.72373,0.6997,0.73378,0.42476,1.45711,1.04472,1.24407,0.00103987,0.00103987,0.00103987
21,500.859,1.16144,0.77138,1.05586,0.71311,0.73033,0.77653,0.44091,1.44787,0.99576,1.24337,0.00100687,0.00100687,0.00100687
22,523.391,1.13326,0.74133,1.05022,0.7537,0.74995,0.77904,0.44396,1.44837,0.98854,1.25966,0.000973861,0.000973861,0.000973861
23,547.608,1.12757,0.7266,1.04905,0.73776,0.70249,0.75672,0.44012,1.42798,0.99252,1.24975,0.000940855,0.000940855,0.000940855
24,570.358,1.10655,0.69499,1.03873,0.6536,0.76051,0.73469,0.4223,1.43049,0.99812,1.23751,0.000907848,0.000907848,0.000907848
25,594.601,1.07873,0.68673,1.0291,0.74337,0.58794,0.69704,0.40484,1.46234,1.07705,1.29069,0.000874842,0.000874842,0.000874842
26,617.583,1.07141,0.66787,1.0341,0.79205,0.77119,0.81989,0.45448,1.45776,0.89847,1.25618,0.000841835,0.000841835,0.000841835
27,642.007,1.05802,0.66615,1.02428,0.68284,0.74553,0.73828,0.43111,1.42082,1.02735,1.23904,0.000808828,0.000808828,0.000808828
28,665.978,1.0593,0.65774,1.02151,0.72981,0.72807,0.76992,0.44305,1.43819,0.96469,1.25521,0.000775822,0.000775822,0.000775822
29,689.146,1.01565,0.62778,1.00863,0.73623,0.70385,0.78063,0.45184,1.44466,0.96914,1.26551,0.000742815,0.000742815,0.000742815
30,713.522,1.00699,0.63252,1.00023,0.80555,0.70511,0.79758,0.4556,1.44007,0.96913,1.25493,0.000709809,0.000709809,0.000709809
31,736.276,1.0079,0.60193,0.99482,0.73893,0.76841,0.78401,0.44562,1.43897,0.95386,1.25305,0.000676802,0.000676802,0.000676802
32,760.693,0.98816,0.61495,0.99772,0.75044,0.74859,0.78082,0.44607,1.4368,0.93854,1.26926,0.000643795,0.000643795,0.000643795
33,783.083,0.98075,0.60944,0.98926,0.7034,0.74668,0.73249,0.40907,1.48393,1.14017,1.2794,0.000610789,0.000610789,0.000610789
34,807.761,0.96535,0.59281,0.98168,0.71986,0.74647,0.76069,0.45487,1.44529,0.96726,1.25618,0.000577782,0.000577782,0.000577782
35,830.118,0.94141,0.57177,0.97316,0.78301,0.66556,0.75898,0.43613,1.48274,1.04423,1.27972,0.000544776,0.000544776,0.000544776
36,855.274,0.93289,0.56963,0.97507,0.77543,0.74285,0.7581,0.444,1.43206,0.98197,1.27329,0.000511769,0.000511769,0.000511769
37,878.469,0.92499,0.55355,0.98354,0.75061,0.76477,0.77358,0.45162,1.43731,0.91386,1.28489,0.000478762,0.000478762,0.000478762
38,902.101,0.91103,0.54641,0.9618,0.75017,0.71899,0.73897,0.41512,1.49099,1.0952,1.29833,0.000445756,0.000445756,0.000445756
39,926.322,0.87544,0.53018,0.9513,0.71842,0.75177,0.76645,0.4531,1.43439,1.0417,1.26945,0.000412749,0.000412749,0.000412749
40,949.276,0.90655,0.5405,0.95476,0.75158,0.69193,0.75308,0.44435,1.43032,1.05439,1.266,0.000379743,0.000379743,0.000379743
41,975.798,0.81138,0.43882,0.93939,0.75046,0.71341,0.74833,0.43651,1.43588,1.02989,1.27345,0.000346736,0.000346736,0.000346736
42,997.473,0.78433,0.41324,0.92095,0.72488,0.72548,0.74878,0.43957,1.44767,1.06044,1.27827,0.000313729,0.000313729,0.000313729
43,1020.68,0.76671,0.40807,0.92179,0.77785,0.67713,0.7297,0.41372,1.48185,1.08598,1.30018,0.000280723,0.000280723,0.000280723
44,1042.39,0.76113,0.40033,0.91889,0.73691,0.73998,0.76587,0.44509,1.46975,1.0255,1.29648,0.000247716,0.000247716,0.000247716
45,1065.99,0.72522,0.38365,0.90676,0.7236,0.76807,0.76999,0.44861,1.43802,1.00586,1.28278,0.00021471,0.00021471,0.00021471
46,1087.75,0.70694,0.37769,0.90014,0.77358,0.71675,0.76655,0.44029,1.45946,1.00079,1.29786,0.000181703,0.000181703,0.000181703
47,1111.54,0.7072,0.37737,0.89696,0.7545,0.75757,0.76006,0.44283,1.46248,1.03156,1.29355,0.000148696,0.000148696,0.000148696
48,1133.47,0.69062,0.36633,0.88839,0.75377,0.73847,0.75951,0.44473,1.46301,1.01915,1.31277,0.00011569,0.00011569,0.00011569
49,1158.74,0.67572,0.36313,0.8905,0.7495,0.73639,0.75852,0.44636,1.4486,1.03928,1.28944,8.26832e-05,8.26832e-05,8.26832e-05
50,1181.1,0.65069,0.35009,0.87751,0.72688,0.75798,0.75377,0.4444,1.4543,1.03667,1.30265,4.96766e-05,4.96766e-05,4.96766e-05
